"Sportsbook","Conference","Team","Odds","Date"
"Fanduel","American Athletic","Navy","+8000","2022-09-01"
"Fanduel","American Athletic","Temple","+10000","2022-09-01"
"Fanduel","Mid-American","Toledo","+340","2022-09-01"
"Fanduel","Mid-American","Miami Ohio","+380","2022-09-01"
"Fanduel","Mid-American","Northern Illinois","+600","2022-09-01"
"Fanduel","Mid-American","Central Michigan","+600","2022-09-01"
"Fanduel","Mid-American","Kent State","+600","2022-09-01"
"Fanduel","Mid-American","Western Michigan","+800","2022-09-01"
"Fanduel","Mid-American","Eastern Michigan","+1000","2022-09-01"
"Fanduel","Mid-American","Ohio","+1600","2022-09-01"
"Fanduel","Mid-American","Buffalo","+2500","2022-09-01"
"Fanduel","Mid-American","Ball State","+2500","2022-09-01"
"Fanduel","Mid-American","Bowling Green","+3000","2022-09-01"
"Fanduel","Mid-American","Akron","+5000","2022-09-01"
"Fanduel","Mountain West","Fresno State","+230","2022-09-01"
"Fanduel","Mountain West","Boise State","+260","2022-09-01"
"Fanduel","Mountain West","Air Force","+350","2022-09-01"
"Fanduel","Mountain West","San Diego State","+600","2022-09-01"
"Fanduel","Mountain West","Utah State","+700","2022-09-01"
"Fanduel","Mountain West","Colorado State","+3000","2022-09-01"
"Fanduel","Mountain West","San Jose State","+3000","2022-09-01"
"Fanduel","Mountain West","Wyoming","+5500","2022-09-01"
"Fanduel","Mountain West","UNLV","+6500","2022-09-01"
"Fanduel","Mountain West","Hawaii","+12000","2022-09-01"
"Fanduel","Mountain West","New Mexico","+12000","2022-09-01"
"Fanduel","Mountain West","Nevada","+12000","2022-09-01"
"Fanduel","Sun Belt","Appalachian State","+240","2022-09-01"
"Fanduel","Sun Belt","UL Lafayette","+350","2022-09-01"
"Fanduel","Sun Belt","Coastal Carolina","+460","2022-09-01"
"Fanduel","Sun Belt","Marshall","+480","2022-09-01"
"Fanduel","Sun Belt","Georgia State","+900","2022-09-01"
"Fanduel","Sun Belt","Troy","+900","2022-09-01"
"Fanduel","Sun Belt","South Alabama","+1700","2022-09-01"
"Fanduel","Sun Belt","Southern Mississippi","+3900","2022-09-01"
"Fanduel","Sun Belt","Old Dominion","+5000","2022-09-01"
"Fanduel","Sun Belt","Texas State","+5000","2022-09-01"
"Fanduel","Sun Belt","Arkansas State","+5000","2022-09-01"
"Fanduel","Sun Belt","UL Monroe","+10000","2022-09-01"
"Fanduel","Sun Belt","Georgia Southern","+10000","2022-09-01"

